,question,golden_answer,answer,judge,model
0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,"According to Wikipedia, Wilhelm Conrad Röntgen of Germany got the first Nobel Prize in Physics in 1901 for his discovery of X-rays.  He received 150,782 SEK (Swedish krona) as the prize money.",True,newbing
2,which mode is used for short wave broadcast service,Olivia,"Hello, this is Bing.  According to , shortwave radio is a type of radio transmission technology that uses shortwave frequencies (between 3. 3 and 30 MHz) to carry voice or music.  There are two different types of shortwave transmissions: AM and FM.  For most types of voice communication (with the exception of international broadcast stations), you will need a radio with sideband mode.",False,newbing
4,what does hp mean in war and order,hit points or health points,"HP stands for Hit Points or Health Points.  It is a measure of how much life a character has in the game.  If a character's HP reaches zero, they are defeated.  In War and Order, HP is one of the attributes of your troops and heroes.  More HP means more survivability.",True,newbing
5,who wrote the first declaration of human rights,Cyrus,"There is more than one possible answer to your question, depending on which declaration of human rights you are referring to. The Universal Declaration of Human Rights (UDHR) was drafted by a UN Commission on Human Rights chaired by Eleanor Roosevelt.  The first draft was authored by John Humphrey, a Canadian professor of law. The Declaration of the Rights of Man and of the Citizen was drafted by the Marquis de Lafayette and the Abbé Sieyès, influenced by the doctrine of natural right.  It was adopted by the French National Assembly in 1789.",False,newbing
6,who is the owner of reading football club,Xiu Li Dai,"The current owner of Reading Football Club is Dai Yongge, a Chinese businessman who also owns Beijing Renhe F. C.  and Slavia Prague.  He bought a majority stake in Reading FC in 2017 along with his sister Dai Xiu Li.  They inherited their wealth from their father, who was a coal mine owner. The previous owner of Reading FC was John Madejski, an English entrepreneur and philanthropist who became chairman of the club in 1990 and rescued it from receivership.  He sold his stake to Dai Yongge and Dai Xiu Li in 2017 but remains honorary life president of the club.",True,newbing
9,who was the first lady nominated member of the rajya sabha,Mary Kom,"The first woman to be nominated to the Rajya Sabha was Rukmini Devi Arundale.  She was a renowned dancer, choreographer, and animal rights activist.  She was nominated in 1952 by the President of India for her contributions to arts and social services.",False,newbing
11,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,"The three famous ballets you mentioned are all composed by Pyotr Ilyich Tchaikovsky, a Russian composer who lived from 1840 to 1893.  He is also known for his symphonies, operas, concertos, and chamber music.",True,newbing
12,how many episodes are there in dragon ball z,291 episodes,"According to the Dragon Ball Wiki and Wikipedia, Dragon Ball Z is an anime series that ran from 1989 to 1996 and has a total of 291 episodes.  However, some episodes were skipped or edited in the United States broadcast, so there are only 276 episodes originally aired in the US.",True,newbing
13,cast of law & order special victim unit,Kelli Giddish,"Sure.  Law & Order: Special Victims Unit is a TV series that follows a team of detectives who investigate sexually related crimes in New York City.  The current cast includes Mariska Hargitay as Captain Olivia Benson, Ice-T as Detective Odafin Tutuola, Kelli Giddish as Detective Amanda Rollins, Peter Scanavino as ADA Sonny Carisi and Jamie Gray Hyder as Officer Katriona Tamin. The show has had many other actors who played different roles over the years.  Some of them are Christopher Meloni, BD Wong, Richard Belzer, Dann Florek, Stephanie March, Tamara Tunie, and more.",True,newbing
14,who designed the garden city of new earswick,planner Raymond Unwin,"The garden city of New Earswick was designed by Ebenezer Howard, who was the founder of the garden city movement.  He commissioned the architects Barry Parker and Raymond Unwin to build the village for Joseph Rowntree, a Quaker chocolate manufacturer.  The village was intended to provide housing, industry and recreation for its inhabitants.",True,newbing
15,what is the first step in the evolution of the eye,photoreceptor proteins that sense light,The first step in the evolution of the eye was to develop light-sensitive cells that could detect light and convert it into electrical signals.  These cells are called photoreceptors and they contain a molecule called rhodopsin that is shared by all animals.  Some single-celled organisms have eyespots made of light-sensitive pigments that can sense the direction of light.,True,newbing
16,where is the tv show the curse of oak island filmed,Oak Island,"The Curse of Oak Island is a reality TV show that follows treasure hunters searching for clues and artifacts on Oak Island, a small island off the coast of Nova Scotia, Canada⁶.  The show also filmed some scenes in Scotland, such as Saltcoats, Kilwinning Abbey and Rosslyn Chapel.",True,newbing
17,where is gall bladder situated in human body,beneath the liver,"The gallbladder is a small pouch that sits just under the liver on the right side of your abdomen.  It stores and concentrates bile, a digestive enzyme produced by the liver.",True,newbing
