,question,golden_answer,answer,judge,model
0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,Wilhelm Röntgen,True,fid
2,which mode is used for short wave broadcast service,Olivia,AM,False,fid
4,what does hp mean in war and order,hit points or health points,Health Points,True,fid
5,who wrote the first declaration of human rights,Cyrus,John Humphrey,False,fid
6,who is the owner of reading football club,Xiu Li Dai,Renhe Sports Management Ltd,False,fid
9,who was the first lady nominated member of the rajya sabha,Mary Kom,Rukmini Devi Arundale,False,fid
11,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,True,fid
12,how many episodes are there in dragon ball z,291,291,True,fid
13,cast of law & order special victim unit,Stephanie March,Stephanie March,True,fid
14,who designed the garden city of new earswick,Raymond Unwin,Raymond Unwin,True,fid
15,what is the first step in the evolution of the eye,photoreceptor proteins that sense light,"the evagination, or outgrowth, of the optic grooves or sulci",False,fid
16,where is the tv show the curse of oak island filmed,Oak Island,"Nova Scotia, Canada",True,fid
17,where is gall bladder situated in human body,beneath the liver,beneath the liver,True,fid
19,who was named african footballer of the year 2014,Yaya Touré,Yaya Touré,True,fid
20,what is the main mineral in lithium batteries,Lithium,lithium,True,fid
21,right to property according to the constitution of india is a,constitutional right,fundamental right,True,fid
23,what part of the brain is in the middle cranial fossa,temporal lobes,temporal lobes,True,fid
24,where do the greasers live in the outsiders,"Tulsa, Oklahoma","Tulsa, Oklahoma",True,fid
25,who died in the plane crash greys anatomy,Dr. Lexie Grey,Lexie Grey,True,fid
26,where do they grow hops in the us,Yakima (Washington),Washington state,True,fid
27,what's the dog's name on tom and jerry,Spike,Spike,True,fid
30,panda is a national animal of which country,China,China,True,fid
33,who did deion sanders go in the hall of fame as,Cornerback,Deion Sanders,False,fid
34,what is the name of manchester united stadium,Old Trafford,Old Trafford,True,fid
35,who played the mother in the black stallion,Teri Garr,Teri Garr,True,fid
36,who sings the theme song for the proud family,Solange Knowles,Solange Knowles,True,fid
37,who wrote cant get you out of my head lyrics,Cathy Dennis,Cathy Dennis,True,fid
38,who is rose in the fall season 2,Valene Kane,Valene Kane,True,fid
39,where does the story the great gatsby take place,Long Island of 1922,Long Island,True,fid
42,who turned out to be the mother on how i met your mother,Tracy McConnell,Tracy McConnell,True,fid
44,what is the meaning of the name sinead,God forgave,God is gracious,True,fid
45,what network is showing the monday night football game,ESPN,ESPN,True,fid
46,what is the form of mozart symphony no 40,G minor,G minor,True,fid
48,when is the fourth movie of the divergent series coming out,never made,June 2017,False,fid
50,who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,True,fid
52,who plays the voice of johnny in sing,Taron Egerton,Taron Egerton,True,fid
55,name the process of fusion of an egg with a sperm,Human fertilization,Human fertilization,True,fid
56,the vascular layer of the eye is the,uvea,uvea,True,fid
57,the cuban revolt against spain was led by,Máximo Gomez,General José Quintn Bandera,False,fid
58,when was the first documented case of tool mark identification,1835,1870s,False,fid
61,when did beds become popular in france and germany,the 12th century,1994,False,fid
62,who wrote the song the glory of love,Billy Hill,David Foster,False,fid
63,who wrote the book the origin of species,Charles Darwin,Charles Darwin,True,fid
64,who sang rip it up and start again,Orange Juice,Orange Juice,True,fid
67,where was the first season of slasher filmed,"Orangeville, Ontario, Canada",Sudbury,True,fid
68,who said if a tree falls in the woods and nobody hears it,George Ransom Twiss,George Ransom Twiss,True,fid
69,turkish finnish and hungarian belong to which family of languages,Uralic languages,Uralic,True,fid
71,a bond that the issuer has the right to pay off before its maturity date,callable,callable bond,True,fid
72,when did united states enter world war i,April 1917,April 1917,True,fid
73,who has given the theory of unbalanced economic growth,Hirschman,Herman Daly,False,fid
74,where did the term spirits for alcohol come from,Middle Eastern alchemy,Middle Eastern alchemy,True,fid
75,who led the soldiers in ending the raid on the harper's ferry arsenal,First Lieutenullt Israel Greene,First Lieutenullt Israel Greene,True,fid
76,when did disney art of animation resort open,"May 31, 2012","May 31, 2012",True,fid
77,where would a subcutaneous injection be made in the skin,the subcutis,the subcutis,True,fid
