,question,golden_answer,answer,judge,model
0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,"The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen, a German physicist. He received the prize for his discovery of X-rays, a groundbreaking achievement that revolutionized the fields of medicine, physics, and chemistry.",True,gpt4
2,which mode is used for short wave broadcast service,Olivia,"For shortwave broadcast service, Amplitude Modulation (AM) is the mode commonly used.",False,gpt4
4,what does hp mean in war and order,hit points or health points,"I couldn't find any specific information on what ""hp"" means in the context of the game ""War and Order."" However, in most games, ""HP"" stands for ""hit points"" or ""health points,"" representing the amount of damage a character can take before being defeated.",True,gpt4
5,who wrote the first declaration of human rights,Cyrus,"The first formal declaration of human rights was the Universal Declaration of Human Rights (UDHR), adopted by the United Nations General Assembly in 1948. The principal author of the UDHR was John Peters Humphrey, a Canadian legal scholar, along with contributions from other members of the UN Commission on Human Rights, such as Eleanor Roosevelt and René Cassin.",False,gpt4
6,who is the owner of reading football club,Xiu Li Dai,"As of my knowledge cutoff date in September 2021, the owner of Reading Football Club was the Chinese businessman Dai Yongge. Note that ownership may have changed since then, so please refer to recent information to confirm the current owner.",True,gpt4
9,who was the first lady nominated member of the rajya sabha,Mary Kom,"The first lady nominated member of the Rajya Sabha was Violet Alva, an Indian lawyer, journalist, and politician who served as the Deputy Chairman of the Rajya Sabha from 1962 to 1966.",False,gpt4
11,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,"Swan Lake, The Sleeping Beauty, and The Nutcracker are three famous ballets composed by Pyotr Ilyich Tchaikovsky, a renowned Russian composer.",True,gpt4
12,how many episodes are there in dragon ball z,291 episodes,"There are a total of 291 episodes in the Dragon Ball Z anime series, which originally aired in Japan between 1989 and 1996.",True,gpt4
13,cast of law & order special victim unit,Kelli Giddish,"The cast of Law & Order: Special Victims Unit has changed over the years. As of my knowledge cutoff date in September 2021, the main cast included Mariska Hargitay (Olivia Benson), Ice-T (Odafin Tutuola), Kelli Giddish (Amanda Rollins), and Peter Scanavino (Dominick Carisi Jr.). Please note that the cast may have changed since then, so refer to recent information for the current lineup.",True,gpt4
14,who designed the garden city of new earswick,planner Raymond Unwin,"The Garden City of New Earswick, located near York in England, was designed by architect Raymond Unwin and built by the Rowntree family, who were well-known chocolate manufacturers and philanthropists.",True,gpt4
