,question,golden_answer,answer,judge,model
0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Röntgen for his discovery of X-rays.,True,chatgpt
2,which mode is used for short wave broadcast service,Olivia,The mode used for short wave broadcast service is amplitude modulation (AM).,False,chatgpt
4,what does hp mean in war and order,hit points or health points,"As an AI language model, I don't have personal opinions or play games. However, in War and Order, HP stands for ""Hit Points,"" which is a measure of how much damage a unit or structure can take before being destroyed. It is a common term used in many games to indicate the health or vitality of a character or object.",True,chatgpt
5,who wrote the first declaration of human rights,Cyrus,"The first declaration of human rights was written by Cyrus the Great, the founder of the Persian Empire, in 539 BCE. This declaration, known as the Cyrus Cylinder, was inscribed on a clay cylinder and contained a proclamation of Cyrus's policies towards the people he had conquered, including the Jews who had been exiled in Babylon. The Cyrus Cylinder is considered to be one of the earliest known declarations of human rights.",True,chatgpt
6,who is the owner of reading football club,Xiu Li Dai,"As an AI language model, I do not have access to real-time information or the ability to browse the internet. However, as of my last update, Dai Yongge and Dai Xiu Li are the current owners of Reading Football Club.",True,chatgpt
9,who was the first lady nominated member of the rajya sabha,Mary Kom,"The first lady nominated member of the Rajya Sabha was Mrs. Rukmini Devi Arundale, who was nominated by the President of India on April 26, 1952. She was a renowned dancer, choreographer, and animal rights activist.",False,chatgpt
11,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky.,True,chatgpt
12,how many episodes are there in dragon ball z,291 episodes,There are a total of 291 episodes in Dragon Ball Z.,True,chatgpt
13,cast of law & order special victim unit,Kelli Giddish,"The main cast of Law & Order: Special Victims Unit (SVU) includes:

1. Mariska Hargitay as Olivia Benson
2. Ice-T as Odafin Tutuola
3. Kelli Giddish as Amanda Rollins
4. Demore Barnes as Christian Garland
5. Jamie Gray Hyder as Katriona Tamin
6. Tamara Tunie as Melinda Warner
7. Peter Scanavino as Dominick Carisi Jr.",True,chatgpt
14,who designed the garden city of new earswick,planner Raymond Unwin,"The garden city of New Earswick was designed by Raymond Unwin, a prominent British town planner and architect, in collaboration with the Rowntree family, who were the owners of the Rowntree's chocolate factory in York.",True,chatgpt
15,what is the first step in the evolution of the eye,photoreceptor proteins that sense light,"The first step in the evolution of the eye is believed to be the development of a light-sensitive pigment in single-celled organisms, which allowed them to detect changes in light and dark. This pigment eventually evolved into a simple light-sensitive spot, which could detect the direction of light. Over time, this spot became more complex, developing a lens and other structures that allowed for more precise vision.",True,chatgpt
16,where is the tv show the curse of oak island filmed,Oak Island,"The TV show ""The Curse of Oak Island"" is filmed on Oak Island, Nova Scotia, Canada.",True,chatgpt
17,where is gall bladder situated in human body,beneath the liver,"The gallbladder is situated in the upper right quadrant of the abdomen, just below the liver.",True,chatgpt
19,who was named african footballer of the year 2014,Yaya Touré,Yaya Touré was named African Footballer of the Year in 2014.,True,chatgpt
20,what is the main mineral in lithium batteries,Lithium,The main mineral in lithium batteries is lithium cobalt oxide (LiCoO2).,True,chatgpt
21,right to property according to the constitution of india is a,constitutional right,"fundamental right guaranteed to every citizen. Article 300A of the Indian Constitution states that no person shall be deprived of his property except by authority of law. This means that the government cannot take away a person's property without following due process of law and providing just compensation. However, the right to property was not always a fundamental right in India. It was only in 1978 that the Constitution was amended to make it a fundamental right. Prior to that, the right to property was a legal",True,chatgpt
23,what part of the brain is in the middle cranial fossa,pituitary gland,The temporal lobe of the brain is located in the middle cranial fossa.,True,chatgpt
24,where do the greasers live in the outsiders,"Tulsa, Oklahoma","The greasers live in the East Side of town in The Outsiders. Specifically, they live in a neighborhood of run-down houses and apartments.",False,chatgpt
25,who died in the plane crash greys anatomy,Dr. Lexie Grey,"In the plane crash episode of Grey's Anatomy, several characters were involved in the crash and some of them died. The characters who died in the plane crash are:

1. Lexie Grey (played by Chyler Leigh)
2. Mark Sloan (played by Eric Dane)
3. Reed Adamson (played by Nora Zehetner)
4. Charles Percy (played by Robert Baker)

It was a tragic event that had a significant impact on the show and its characters.",True,chatgpt
26,where do they grow hops in the us,Yakima (Washington),"Hops are grown in several states in the US, including Washington, Oregon, Idaho, California, Michigan, and New York. However, the majority of hops are grown in the Pacific Northwest region, particularly in the Yakima Valley of Washington state.",True,chatgpt
27,what's the dog's name on tom and jerry,Spike,The dog's name on Tom and Jerry is Spike.,True,chatgpt
30,panda is a national animal of which country,China,The panda is a national animal of China.,True,chatgpt
33,who did deion sanders go in the hall of fame as,Cornerback,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011 as a cornerback.,True,chatgpt
34,what is the name of manchester united stadium,Old Trafford,The name of Manchester United's stadium is Old Trafford.,True,chatgpt
35,who played the mother in the black stallion,Teri Garr,"Teri Garr played the mother in the 1979 film ""The Black Stallion.""",True,chatgpt
36,who sings the theme song for the proud family,Destiny's Child,The theme song for The Proud Family is performed by Solange Knowles.,True,chatgpt
37,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"The lyrics for ""Can't Get You Out of My Head"" were written by British songwriter Cathy Dennis.",True,chatgpt
38,who is rose in the fall season 2,Valene Kane,"As an AI language model, I do not have access to information about unreleased or upcoming TV shows. Therefore, I cannot provide information about Rose in The Fall Season 2.",False,chatgpt
39,where does the story the great gatsby take place,Long Island of 1922,"The story of The Great Gatsby takes place in the fictional town of West Egg and East Egg on Long Island, New York, during the summer of 1922.",True,chatgpt
42,who turned out to be the mother on how i met your mother,Tracy McConnell,"Tracy McConnell, played by Cristin Milioti, was revealed to be the mother on How I Met Your Mother in the final season of the show.",True,chatgpt
44,what is the meaning of the name sinead,God forgave,"The name Sinead is of Irish origin and means ""God is gracious"".",True,chatgpt
45,what network is showing the monday night football game,ESPN,"As an AI language model, I do not have access to real-time information. However, Monday Night Football is broadcasted on ESPN.",True,chatgpt
46,what is the form of mozart symphony no 40,G minor,"Mozart's Symphony No. 40 is in sonata form, which is a common structure used in classical music. The sonata form typically consists of three main sections: the exposition, the development, and the recapitulation. 

In the exposition, the main themes of the piece are introduced. In Symphony No. 40, the first theme is a dark and dramatic melody played by the strings, while the second theme is a lighter and more lyrical melody played by the woodw",False,chatgpt
48,when is the fourth movie of the divergent series coming out,never made,"As an AI language model, I don't have access to real-time information, but as far as I know, the fourth movie of the Divergent series, ""Ascendant,"" was initially planned to be released in 2017. However, due to various production issues and finullcial problems, the movie was eventually canceled, and the franchise was turned into a TV series.",True,chatgpt
50,who is the girl in green day 21 guns,Lisa Stelly,"The girl in the Green Day music video for ""21 Guns"" is actress and model Jamie King.",False,chatgpt
52,who plays the voice of johnny in sing,Taron Egerton,Taron Egerton plays the voice of Johnny in Sing.,True,chatgpt
55,name the process of fusion of an egg with a sperm,fertilization,The process of fusion of an egg with a sperm is called fertilization.,True,chatgpt
56,the vascular layer of the eye is the,middle layer,choroid.,False,chatgpt
57,the cuban revolt against spain was led by,Máximo Gomez,José Martí and General Máximo Gómez.,True,chatgpt
58,when was the first documented case of tool mark identification,1835,"The first documented case of tool mark identification dates back to 1835, when a British barrister named Henry Goddard presented evidence in a murder trial that linked a chisel found at the crime scene to the defendant's tool set. This was the first time that tool mark identification was used as evidence in a court of law.",True,chatgpt
61,when did beds become popular in france and germany,the 12th century,"Beds have been used in France and Germany for centuries, but the type of bed and its popularity has evolved over time. 

In France, the use of beds became more widespread during the 16th century, particularly among the upper classes. Prior to this, people often slept on straw pallets on the floor. During the Renaissance, beds became more ornate and were often made of wood with elaborate carvings and decorations. 

In Germany, beds were also used for centuries, but the",False,chatgpt
62,who wrote the song the glory of love,Billy Hill,"The song ""The Glory of Love"" was written by Billy Hill in 1936.",True,chatgpt
63,who wrote the book the origin of species,Charles Darwin,"Charles Darwin wrote the book ""The Origin of Species"".",True,chatgpt
64,who sang rip it up and start again,Scottish post-punk band Orange Juice,"The song ""Rip It Up and Start Again"" was originally performed by the British band, Orange Juice, in 1983.",True,chatgpt
67,where was the first season of slasher filmed,"Orangeville, Ontario, Canada","The first season of Slasher was filmed in Sudbury, Ontario, Canada.",True,chatgpt
68,who said if a tree falls in the woods and nobody hears it,Philosopher George Berkeley,"The philosopher George Berkeley is often credited with the original formulation of the question, which appeared in his work ""A Treatise Concerning the Principles of Human Knowledge"" in 1710. However, the exact wording of the question as it is commonly known today is not found in Berkeley's work and may have been popularized by other philosophers and writers over time.",True,chatgpt
69,turkish finnish and hungarian belong to which family of languages,Uralic languages,"Turkish, Finnish, and Hungarian belong to the Uralic language family.",True,chatgpt
71,a bond that the issuer has the right to pay off before its maturity date,callable,"is called a callable bond. This means that the issuer has the option to redeem the bond before its scheduled maturity date, usually at a premium price. Callable bonds are often issued with a call protection period, during which the issuer cannot exercise the call option. Callable bonds are typically issued by companies or governments that expect interest rates to decline in the future, as they can then refinullce the bond at a lower interest rate. However, callable bonds can be disadvantageous for investors, as they may not receive",True,chatgpt
72,when did united states enter world war i,April 1917,"The United States entered World War I on April 6, 1917.",True,chatgpt
73,who has given the theory of unbalanced economic growth,Hirschman,"The theory of unbalanced economic growth was given by economist Hirschman in his book ""The Strategy of Economic Development"" published in 1958.",True,chatgpt
74,where did the term spirits for alcohol come from,Middle Eastern alchemy,"The term ""spirits"" for alcohol comes from the alchemical concept of distillation, which was believed to separate the ""spirit"" or essence of a substance from its physical form. This concept was applied to the distillation of alcohol, which was believed to extract the ""spirit"" of the fermented liquid. The term ""spirits"" was first used in the 18th century to refer to distilled alcoholic beverages such as brandy, whiskey, and gin.",True,chatgpt
75,who led the soldiers in ending the raid on the harper's ferry arsenal,Colonel Robert E. Lee,Colonel Robert E. Lee led the soldiers in ending the raid on the Harper's Ferry arsenal.,True,chatgpt
76,when did disney art of animation resort open,"May 31, 2012","The Disney Art of Animation Resort opened on May 31, 2012.",True,chatgpt
77,where would a subcutaneous injection be made in the skin,the subcutis,"A subcutaneous injection is typically made in the fatty tissue layer just beneath the skin. The most common sites for subcutaneous injections are the upper arm, thigh, and abdomen.",True,chatgpt
78,where are most nutrients absorbed in the human digestive tract,The small intestine,"Most nutrients are absorbed in the small intestine, specifically in the jejunum and ileum. The small intestine is lined with tiny finger-like projections called villi and microvilli, which increase the surface area for absorption. Nutrients are absorbed into the bloodstream and transported to the liver for processing and distribution to the rest of the body.",True,chatgpt
79,when do primary ossification centers appear in an embryo,prenatal development,Primary ossification centers appear in an embryo during the 8th week of gestation.,True,chatgpt
80,where does kevins family go in home alone 2,Florida,"Kevin's family goes to Miami, Florida in Home Alone 2.",True,chatgpt
81,when is season 2 of jessica jones being released,"March 8, 2018","As an AI language model, I do not have access to real-time information or current events. However, the second season of Jessica Jones was released on March 8, 2018.",True,chatgpt
83,what are the top five wine producing states,Washington,"The top five wine producing states in the United States are:

1. California: California is by far the largest wine producing state in the US, accounting for around 85% of the country's total wine production. Some of the most famous wine regions in California include Napa Valley, Sonoma County, and Paso Robles.

2. Washington: Washington is the second largest wine producing state in the US, with a focus on producing high-quality red wines such as Cabernet Sauvignon and Mer",True,chatgpt
84,what is final season of game of thrones,The eighth,"The final season of Game of Thrones is the eighth season, which aired in 2019. It consisted of six episodes and concluded the series.",True,chatgpt
85,vikram samvat calender is official in which country,Nepal,The Vikram Samvat calendar is the official calendar of Nepal.,True,chatgpt
86,who wrote there's a guy works down the chip shop lyrics,Philip Rambow,"The song ""There's a Guy Works Down the Chip Shop Swears He's Elvis"" was written by Kirsty MacColl.",True,chatgpt
88,an edge that is between a vertex and itself is a,loop,loop.,True,chatgpt
90,how tall is the actor who plays hagrid in harry potter,6ft 1in,"The actor who played Hagrid in the Harry Potter films, Robbie Coltrane, is 6 feet 1 inch (185 cm) tall.",True,chatgpt
91,what is the job of justice of the peace,dispense summary justice,"The job of a Justice of the Peace (JP) varies depending on the jurisdiction, but generally, they are authorized to perform certain legal duties, such as:

1. Marriages: JPs can perform civil marriages and sign marriage licenses.

2. Notarization: JPs can administer oaths and affirmations, and certify documents.

3. Small claims court: JPs can preside over small claims court cases, which are typically disputes involving a small amount of money.

4. Traffic court",True,chatgpt
92,who won the oscar for best picture in 1976,Rocky,"The Oscar for Best Picture in 1976 was awarded to ""One Flew Over the Cuckoo's Nest.""",False,chatgpt
94,who was involved in the mapp vs ohio case,Dollree Mapp,"Dollree Mapp was the defendant in the Mapp v. Ohio case. The case was argued before the Supreme Court of the United States by her attorney, Alexander L. Kearns, and by Ohio's Attorney General, William Saxbe.",True,chatgpt
95,who was kat slater's sisters in eastenders,Zoe,"Kat Slater, a popular character in the British soap opera EastEnders, has two sisters:

1. Lynne Hobbs: Lynne is Kat's younger sister, who first appeared in the show in 2000. She is portrayed as being more reserved and responsible than Kat, and often tries to keep her sister out of trouble.

2. Little Mo Mitchell: Little Mo is Kat's older half-sister, who first appeared in the show in 2000. She is portrayed as being",True,chatgpt
96,the cast of a good day to die hard,Mary Elizabeth Winstead,"1. Bruce Willis as John McClane
2. Jai Courtney as Jack McClane
3. Sebastian Koch as Yuri Komarov
4. Mary Elizabeth Winstead as Lucy McClane
5. Yuliya Snigir as Irina
6. Radivoje Bukvic as Alik
7. Cole Hauser as Mike Collins
8. Amaury Nolasco as Murphy
9. Sergei Kolesnikov as Chagarin
10. Megalyn E",True,chatgpt
99,what is the cross on a letter t called,arm,"The cross on a letter ""t"" is called a ""tittle"".",False,chatgpt
102,who plays the evil doctor in wonder woman,Elena Anaya,The evil doctor in Wonder Woman is played by actor Elena Anaya.,True,chatgpt
103,who starred in the movie summer of 42,Oliver Conullt,"Jennifer O'Neill, Gary Grimes, and Jerry Houser starred in the movie Summer of '42.",True,chatgpt
104,what album is sacrifice by elton john on,Sleeping with the Past.,"The song ""Sacrifice"" by Elton John appears on his 1989 album ""Sleeping with the Past"".",True,chatgpt
106,where can you find dna in the body,chromosomes in a cell,"DNA can be found in the nucleus of every cell in the body. It can also be found in some organelles, such as mitochondria.",True,chatgpt
107,who won the most medals in the 1924 winter olympics,Norway,"The Norwegian athlete Thorleif Haug won the most medals in the 1924 Winter Olympics, with three gold medals in cross-country skiing events.",True,chatgpt
108,what is the final season of downton abbey,the sixth,The final season of Downton Abbey is season 6.,True,chatgpt
109,which site of an enzyme is called allosteric site,regulatory site,"The allosteric site of an enzyme is a specific site on the enzyme molecule that is not the active site, but can bind to a molecule called an allosteric effector. This binding can cause a conformational change in the enzyme, which can either enhance or inhibit its activity.",True,chatgpt
110,what caused the breakup of the democratic republican party,the disputed 1824 presidential election,"The Democratic-Republican Party was a political party in the United States that was formed in the 1790s by Thomas Jefferson and James Madison. The party was formed in opposition to the Federalist Party, which was led by Alexander Hamilton. 

The Democratic-Republican Party was characterized by its support for states' rights, strict interpretation of the Constitution, and opposition to a strong central government. However, over time, the party began to splinter and eventually broke up into several different factions. ",False,chatgpt
111,who sings the song you'll never find another love like mine,Lou Rawls,"The song ""You'll Never Find Another Love Like Mine"" was originally performed by Lou Rawls in 1976.",True,chatgpt
114,where was uncle tom's cabin first published,The National Era,"Uncle Tom's Cabin was first published in the United States by John P. Jewett and Company on March 20, 1852.",False,chatgpt
116,who warned europe to stay out of the americas,Monroe Doctrine,"The Monroe Doctrine, issued by President James Monroe in 1823, warned European powers to stay out of the Americas and not to interfere with the newly independent countries in the region.",True,chatgpt
117,when did the name of bombay change to mumbai,1995,"The name of Bombay was officially changed to Mumbai on March 6, 1996.",False,chatgpt
118,where does the formation of atp take place,plasma membrane in bacteria,"The formation of ATP takes place in the mitochondria of eukaryotic cells and in the cytoplasm of prokaryotic cells. Specifically, ATP is synthesized through the process of cellular respiration, which occurs in the inner membrane of the mitochondria in eukaryotic cells and in the cytoplasmic membrane of prokaryotic cells.",True,chatgpt
119,who plays matthew on anne with an e,R. H. Thomson,Matthew Cuthbert is played by actor R.H. Thomson in the series Anne with an E.,True,chatgpt
120,who wrote song what a friend we have in jesus,Charles Crozat Converse,"The lyrics of the hymn ""What a Friend We Have in Jesus"" were written by Joseph M. Scriven in 1855. The melody was composed by Charles Crozat Converse in 1868.",True,chatgpt
121,who dies in season 6 of once upon a time,Hyde,"As an AI language model, I don't have personal opinions and don't watch TV shows. However, according to sources, in season 6 of Once Upon a Time, several characters die, including Robin Hood, Hades, and King Arthur.",False,chatgpt
123,who is the guy who walked across the twin towers,Philippe Petit,"The man who walked across the Twin Towers was Philippe Petit, a French high-wire artist. He performed the stunt on August 7, 1974, walking between the two towers of the World Trade Center in New York City on a tightrope. The event was later documented in the film ""Man on Wire.""",True,chatgpt
124,where do the royalties for winnie the pooh go,the Slesinger family,"The royalties for Winnie the Pooh go to the Walt Disney Company, which acquired the rights to the character in 1961. The estate of A.A. Milne, the author who created Winnie the Pooh, also receives a portion of the royalties.",False,chatgpt
126,genre of diary of a wimpy kid the getaway,Children's novel,"The genre of Diary of a Wimpy Kid: The Getaway is children's literature, specifically middle-grade fiction.",True,chatgpt
131,who played stumpy in the movie rio bravo,Walter Brennull,Walter Brennull played the character Stumpy in the movie Rio Bravo.,True,chatgpt
135,what was the purpose of a revival meeting during the second great awakening,evangelizing,The purpose of a revival meeting during the Second Great Awakening was to encourage people to renew their faith in God and to promote a personal relationship with Jesus Christ. These meetings were often held in large tents or outdoor spaces and were led by charismatic preachers who delivered emotional and powerful sermons. The goal was to inspire people to repent of their sins and to commit themselves to a life of Christian piety and service. Revival meetings were also a way to bring people together and to create a sense of community,True,chatgpt
136,when was catch me if you can made,2002,Catch Me If You Can was made in 2002.,True,chatgpt
137,when did toyota first come to the united states,1957,Toyota first came to the United States in 1957.,True,chatgpt
138,what is the official symbol of the carnival of quebec,Bonhomme Carnaval,"As an AI language model, I do not have personal beliefs or preferences. However, to answer your question, the official symbol of the Carnival of Quebec is Bonhomme Carnaval, a snowman with a red cap and a wide smile.",True,chatgpt
140,what are the band members names of the rolling stones,Ronnie Wood,"The current and former members of The Rolling Stones are:

Current members:
1. Mick Jagger - lead vocals, harmonica, guitar
2. Keith Richards - guitar, backing vocals
3. Ronnie Wood - guitar, backing vocals
4. Charlie Watts - drums

Former members:
1. Brian Jones - guitar, harmonica, keyboards (1962-1969)
2. Ian Stewart - piano, organ (1962-1963, 1964-1985)",True,chatgpt
141,which apostle spoke at the council of jerusalem,Paul,The apostle Peter spoke at the Council of Jerusalem.,True,chatgpt
142,which film won the oscar for best animated feature in 2007,Ratatouille,"The film ""Happy Feet"" won the Oscar for Best Animated Feature in 2007.",False,chatgpt
143,who played daisy duke in the new dukes of hazzard,Jessica Simpson,"Jessica Simpson played Daisy Duke in the 2005 film adaptation of ""The Dukes of Hazzard.""",True,chatgpt
144,when was the first australian prime minister elected,Sir Edmund Barton,"The first Australian Prime Minister, Sir Edmund Barton, was elected on September 29, 1903.",False,chatgpt
145,where is the country music hall of fame located,"Nashville, Tennessee","The Country Music Hall of Fame is located in Nashville, Tennessee, United States.",True,chatgpt
146,who do the characters represent in 8 mile,loosely on Eminem,"As an AI language model, I don't have personal beliefs or opinions, but I can provide you with factual information. 

The characters in 8 Mile represent various people in Eminem's life, including himself. Eminem plays the character of Jimmy ""B-Rabbit"" Smith Jr., who is based on his own experiences growing up in Detroit and trying to make it as a rapper. Other characters in the film are based on people in Eminem's life, such as his mother, his friends",True,chatgpt
148,what was the first video game for nintendo,Magnavox Odyssey,"The first video game for Nintendo was ""Color TV Game 6"" released in 1977.",True,chatgpt
149,what is the most common blood type in sweden,A+,"The most common blood type in Sweden is A-positive, followed by O-positive.",False,chatgpt
150,who sings the theme song for the tv show cops,Inner Circle,"The theme song for the TV show Cops is called ""Bad Boys"" and is performed by the reggae group Inner Circle.",True,chatgpt
151,who was on the first season of dwts,Joey McIntyre,"The first season of Dancing with the Stars premiered on June 1, 2005, and the following celebrities were on the show:

1. Trista Sutter
2. Evander Holyfield
3. Rachel Hunter
4. Joey McIntyre
5. John O'Hurley
6. Kelly Monaco
7. Charlotte Jorgensen
8. Alec Mazo
9. Ashly DelGrosso
10. Louis Van Amstel
11. Edyta Ś",True,chatgpt
153,when was the minimum wage established in the united states,1938,The minimum wage was established in the United States in 1938 with the passage of the Fair Labor Standards Act.,True,chatgpt
154,who sings theme tune to orange is the new black,Spektor,"The theme song for Orange is the New Black is called ""You've Got Time"" and is performed by Regina Spektor.",True,chatgpt
155,when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,"The Regulatory Reform (Fire Safety) Order 2005 first came into effect on October 1, 2006.",True,chatgpt
157,who wrote lord have mercy on the working man,Kostas,"The song ""Lord Have Mercy on the Working Man"" was written by Travis Tritt and Pat Terry.",False,chatgpt
158,a legislative act passed by congress is an example of,statutory law,a federal law.,False,chatgpt
159,what is the largest bill in american money,$100,The largest bill in American money is the $100 bill.,True,chatgpt
160,where are unipolar neurons found in spinal cord,the distal dorsal root,"Unipolar neurons are found in the dorsal root ganglia of the spinal cord. These neurons have a single process that divides into two branches, with one branch extending towards the periphery and the other towards the central nervous system. They are responsible for transmitting sensory information from the periphery to the spinal cord and brain.",True,chatgpt
161,what are the parts of a domain name called,subdomain,The parts of a domain name are called labels or segments.,False,chatgpt
162,who want to be a millionaire calls his dad,Carpenter,"As an AI language model, I do not have personal preferences or desires. However, if a hypothetical person who wants to be a millionaire calls his dad, it could be to seek advice, guidance, or support in achieving his goal. The father may have valuable insights or experiences that could help his son in his pursuit of wealth and success. Alternatively, the call could be a way to share the good news of his progress or success with his loved ones.",False,chatgpt
165,what is the significance of the sahara desert,the largest hot desert,"As an AI language model, I do not have personal opinions or beliefs, but I can provide information. 

The Sahara Desert is the largest hot desert in the world, covering an area of approximately 3.6 million square miles across North Africa. It has significant cultural, ecological, and economic importance. 

Cultural significance: The Sahara has been inhabited by various indigenous groups for thousands of years, including the Tuareg, Berbers, and Bedouins. These groups have developed unique cultures",True,chatgpt
167,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,The first European ship to sail around the tip of Africa was captained by Portuguese explorer Bartolomeu Dias in 1488.,True,chatgpt
168,who sang a whiter shade of pale first,Procol Harum,"Procol Harum sang ""A Whiter Shade of Pale"" first.",True,chatgpt
169,what material was used to build the roofs of houses in burzahom,birch,"As an AI language model, I don't have access to the latest archaeological findings or research on Burzahom. However, based on historical and cultural context, it is likely that the roofs of houses in Burzahom were made of locally available materials such as thatch, mud, and wood. These materials were commonly used in ancient times for building houses and structures in many parts of the world.",False,chatgpt
171,in what part of the digestive tube do you expect the initial digestion of starch,the mouth,"The initial digestion of starch occurs in the mouth, specifically in the oral cavity, where the enzyme amylase is secreted by the salivary glands. Amylase breaks down starch into smaller molecules called maltose.",True,chatgpt
172,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,The French chef given credit for developing the classic kitchen brigade is Georges Auguste Escoffier.,True,chatgpt
